name;code
"Embedded librarian";"016.016.005"
"Konteradmiral";"001.004.004.010.001.003"
"Konteradmiral";"001.004.004.010.003"
"Vizeadmiral";"001.004.004.010.001.004"
"Vizeadmiral";"001.004.004.010.004"
"Flottenadmiral";"001.004.004.010.001.005"
"Flottenadmiral";"001.004.004.010.005"
"Bauzeichnerin";"012.004.009"
"Staatlich geprüfte Assistentin für Ernährung und Versorgung, Schwerpunkt Service";"018.008"
"Kraftsportlerin";"023.003.002"
"Bodybuilderin";"023.005.004"
"Forstingenieurin";"013.003.024"
"Albanischunterricht / Lehrer";"016.006.050"
"Albanischlehrer";"016.006.050"
"Elektroniker für Automatisierungstechnik";"022.019.008.003"
"Elektroniker für Automatisierungstechnik";"022.019.002.004"
"Diplom-Finanzwirt";"018.164"
"Finanzwirt";"018.164"
"Diplom-Finanzwirtin";"018.165"
"Finanzwirtin";"018.165"
"Geochemikerin";"014.005.024.002.004"
"Geochemikerin";"014.040.029.002"
"Lebensberater";"018.009"
"Sozialberater";"018.009"
"Lebens- und Sozialberater";"018.009"
"Lebensberaterin";"018.010"
"Sozialberaterin";"018.010"
"Lebens- und Sozialberaterin";"018.010"
"Henkerin";"025.001"
"Nachrichterin";"025.001"
"Scharfrichterin";"025.001"
"Eight Deva Guardians of Buddhism";"034.001"
"Eight Legions";"034.001"
"Gruppe acht göttlicher Wesen";"034.001"
"Ninpinin";"034.001"
"Tenryu Kijin";"034.001"
"Tenryuu hachibushuu";"034.001"
"Tianlong babu";"034.001"
"???";"034.001"
"???";"034.001"
"?????";"034.001"
"????";"034.001"
"????";"034.001"
"Hachibushuu";"034.001"
"Asienwissenschaftlerin";"014.005.026.026"
"Asienwissenschaftlerin";"014.005.012.001.003"
"Asienwissenschaftler";"014.008.001.034"
"Asienwissenschaftler";"014.039.001"
"Werbetexterin";"018.011"
"Schirmmacherin";"033.201.166"
"Altamerikanistin";"014.041.008.001"
"Altamerikanistin";"014.005.026.030"
"Altamerikanistin";"014.005.030.005.001"
"Altamerikanistin";"014.005.030.002.001"
"Schreibdidaktiker";"016.009.008"
"Bordschütze";"001.004.003"
"Schulrätin";"010.070.004"
"Schulrätin";"016.003"
"Schulrätin";"029.008.004"
"Steinschneiderin";"005.002.005.004"
"Steinschneiderin";"033.201.105.123"
"Miniaturmalerin";"005.002.009.007"
"Miniaturistin";"005.002.009.007"
"Konfliktberaterin";"018.023.004"
"Edler Herr";"030.001.001"
"Edler von";"030.001.001"
"Edler";"030.001.001"
"Geprüfter Kaufmännischer Fachwirt nach der Handwerksordnung";"022.010.010"
"Geprüfter Kaufmännischer Fachwirt nach der Handwerksordnung";"018.012"
"Fachwirt Handwerk";"022.010.010"
"Fachwirt Handwerk";"018.012"
"Geprüfte Kaufmännische Fachwirtin nach der Handwerksordnung";"022.029.017"
"Fachwirtin Handwerk";"022.029.017"
"Kulturpolitiker";"010.011.005"
"Neuhistorikerin";"014.005.025"
"Diplomlandwirtin";"013.001.014.007"
"Wirtschaftshistoriker";"014.611.749"
"Wirtschaftshistoriker";"014.542.731"
"Wirtschaftshistorikerin";"014.005.014.002"
"Textilmustergestalterin";"008.582"
"Produktgestalterin Textil";"008.582"
"Hauptpastor";"020.034.007.005"
"Hauptpastor";"020.012.002.001"
"Bergbauingenieurin";"038.002.005"
"Bergingenieurin";"038.002.005"
"Kaufmann - E-Commerce";"018.027.007"
"Kaufmann - E-Commerce";"019.130.015"
"Kaufmann im E-Commerce";"018.027.007"
"Kaufmann im E-Commerce";"019.130.015"
"Kauffrau - E-Commerce";"018.013"
"Kauffrau - E-Commerce";"019.119.013"
"Kauffrau im E-Commerce";"018.013"
"Kauffrau im E-Commerce";"019.119.013"
"Geprüfte Fachkraft zur Arbeits- und Berufsförderung";"016.004"
"Fachkraft zur Arbeits- und Berufsförderung";"016.004"
"Fachoberschule / Schüler";"016.010.012"
"Fachoberschüler";"016.010.012"
"Hubmeister";"010.008.018"
"Wirtschaftgeograph";"014.001.023.006"
"Wirtschaftgeograph";"014.005.023.001.009"
"Wirtschaftsgeograf";"014.001.023.006"
"Wirtschaftsgeograf";"014.005.023.001.009"
"Wirtschaftgeographin";"014.005.024.002.003"
"Wirtschaftgeographin";"014.048.004"
"Wirtschaftgeographin";"014.005.039.001"
"Wirtschaftgeographin";"014.040.029.001"
"Wirtschaftsgeografin";"014.005.024.002.003"
"Wirtschaftsgeografin";"014.048.004"
"Wirtschaftsgeografin";"014.005.039.001"
"Wirtschaftsgeografin";"014.040.029.001"
"Italianistin";"014.005.026.017.008"
"Italianistin";"014.005.026.007.004"
"Italianist";"014.008.001.019.002"
"Mongolist";"014.008.001.002.009"
"Mongolistin";"014.005.026.001.002"
"Aufklärer / Judentum";"014.700.001"
"Maschilim";"014.700.001"
"Maskilim";"014.700.001"
"Verständiger / Judentum";"014.700.001"
"Maskil";"014.700.001"
"Lederer";"033.005.043.087"
"Lohgerber";"033.005.043.087"
"Rotgerber";"033.005.043.087"
"Sticker";"008.593"
"Schönfärber";"033.005.069.111"
"Schwarzfärber";"033.005.069.111"
"Schwarz- und Schönfärber";"033.005.069.111"
"Brigadegeneral";"001.004.004.003"
"Kulturpolitikerin";"010.025.001"
"Gonfalone di Giustizia";"010.008.017.001"
"Gonfaloniere di Giustizia";"010.008.017.001"
"Generalsekretärin";"010.005"
"BTA";"038.029.007"
"Biologisch-technische Assistentin";"038.029.007"
"Pharmazeut";"011.012"
